sentence,is_humor
fox news doctor: ben carson was right about guns and the holocaust,0
calcutta fire marshal: many indian homes lack bride extinguisher,1
"gerber recalls 60,000 jars of baby poison",1
charlotte police killing leaves city on edge,0
jojo is back with a perfect 'tringle' of songs,0
'the economist' to halt production for month to let readers catch up,1
11 life lessons i learned from my year of running,0
lauren conrad shares 4 simple rules for dealing with pregnant women,0
ford develops new suv that runs purely on gasoline,1
what happened at a texas frat when they thought no one was watching,0
voyager probe badly damaged after smashing into end of universe,1
10 resolutions every woman should make in 2017,0
u.s. kids fail at physical activity,0
study: home rotisseries only american technological field still advancing,1
'the scream' returns from two-year vacation relaxed,1
powerful 'his and hers' towel lobby stalls gay marriage legislation,1
"people are trying to listen to 'serial,' so can you kindly stfu?",0
terrifying man selling dead trees out of middle school parking lot,1
man dies all by himself,1
congress gets another reminder from scientists that climate change isn't coming -- it's already here,0
"divorce, life and reconciliation",0
pre-teen moves from giggling-at-everything phase to never-smiling phase,1
few animals harmed in making of film,1
why you should use conditioner before getting in the shower,0
"$85,000 in fertility treatments result in miracle",1
police find recorded 'confession' on austin bomber's cellphone,0
exhausted nation unsure it has stamina to continue gun control dialogue for fifth consecutive day,1
early-morning jogger pities everyone still sleeping,1
from the front line against hiv: time to end the federal syringe ban,0
jane seymour's secrets to feeling young after 50,0
the very nonsensical trump budget proposal,0
paris jackson stands up to social media haters and their 'ridiculous' expectations,0
yellowstone park attempts to increase ranger population with new mating program,1
man panics after reaching age where parents prematurely started family,1
having kids radically reshapes parents' immune systems,0
"poll: 80 percent of americans in favor of storming castle, destroying inhuman monster",1
obama administration to unveil plans to cut methane emissions,0
reince priebus says rnc was 'absolutely not hacked',0
robert pattinson & fka twigs spend time at chateau marmont,0
mark ruffalo in infinitely polar bear,0
breaking: ufos spotted on classy porcelain dinnerware,0
man in suit makes decision affecting thousands of non-suited individuals,1
climate science on trial again,0
report: crooked border guards planting illegal immigrants in cars,1
cat likes it doggy style,1
school teacher not about to risk her life for derek,1
7 ways to look like a pro in a wine tasting room,0
couple married 75 years renew their vows in sweet nursing home ceremony,0
visine introduces new eye-whitening strips,1
friend hosting super bowl party confirms there still plenty of room on floor,1
95-year-old woman uses lottery winnings to join 21st century,0
carry that weight: the revival of feminist performance art,0
what everyday iranians have to say about the nuclear deal now that it's a reality,0
the history of the baby name 'stormi',0
paula broadwell crashing on petraeus family's couch until sex scandal blows over,1
more than 200 demonstrators arrested during may day rallies in paris,0
"i'm all in for hillary clinton, my next president",0
"mueller: 'well, we got the liar. probe's over'",1
tenants feel guilty asking elderly maintenance man to fix anything,1
frustrated wildfire spends hours stuck in l.a. traffic,1
political cartoonist's wife finds disturbing nude drawings of uncle sam,1
"6 months of trump, 6 lessons learned",0
this new federal law will change foster care as we know it,0
drinking beer could help save this adorable red panda,0
why happy hours may soon replace early bird specials,0
"aatish taseer talks sanskrit, the dangerous power of english, and his new novel",0
sean spicer quietly puts painting back over unfinished escape tunnel,1
knobby-faced beast may be earliest known to stand tall on all fours,0
cooking off the cuff: mushrooms make the meatloaf (duck doesn't hurt either),0
"cameron diaz says she's 'actually retired,' so there",0
oxford english dictionary to add 'skype' and 'coat' to latest edition,1
21-year-old adult throws hissy fit,0
scientific journal releases list of year's top 100 compounds,1
"senate panel to probe russian hacking, links to campaigns",0
creating is a drug,0
mueller combs through dozens of damning white house emails he was accidentally cc'd on,1
another mass shooting and more prayers. america has officially given up.,0
ben carson has a weirdly specific vision of how 'the purge' could turn real,0
bush quietly rolls back iraq death toll to zero,1
why sharing your dreams is so important,0
vape flavor ban threatens san francisco's legacy of harm reduction,0
local couple needs to talk,1
chicago is fighting climate change no matter what trump says,0
"too old to drive? think again, google to the rescue.",0
